"x","y","X","N","Al","Ca","Cr","Fe","K","Mg","Mn","Na","Si","Ti","An","Labels","Zone"
40.5,20.5,239541,4,5743,4136,6,62,20,68,3,153,6195,50,84.3665225549922,"SK394AZone1b",2
40.5,21.5,239041,4,5577,4534,3,28,18,40,7,133,5948,51,92.4302231370295,"SK394AZone1b",2
40.5,24.5,237541,4,5555,4514,1,22,15,30,9,132,5902,56,92.025012052505,"SK394AZone1b",2
40.5,25.5,237041,4,5667,4549,9,29,21,34,10,143,5875,37,92.7341314504229,"SK394AZone1b",2
40.5,28.5,235541,4,5061,3931,3,40,17,42,6,480,6334,43,80.2131089386162,"SK394AZone1b",2
40.5,29.5,235041,4,5222,4028,6,37,19,48,8,468,6425,47,82.17838269856,"SK394AZone1a",1
40.5,3.5,248041,4,5583,4629,10,31,18,48,12,174,5804,43,94.3549757885208,"SK394AZone1b",2
40.5,30.5,234541,4,5207,4154,5,43,12,28,10,449,6276,59,84.7312125310642,"SK394AZone1a",1
40.5,4.5,247541,4,5621,4552,7,29,17,27,6,149,5839,41,92.7949131131015,"SK394AZone1b",2
40.5,5.5,247041,4,5512,4586,4,33,18,26,11,111,5825,49,93.4837719567932,"SK394AZone1b",2
40.5,6.5,246541,4,5482,4449,6,31,7,33,5,129,5846,36,90.7080760278004,"SK394AZone1b",2
40.5,7.5,246041,4,5558,4568,6,35,19,28,10,147,5848,34,93.1190819807211,"SK394AZone1b",2
40.5,8.5,245541,4,5650,4564,6,42,13,54,7,134,5880,55,93.0380397638162,"SK394AZone1b",2
40.5,9.5,245041,4,5588,4541,5,25,21,37,5,135,5918,51,92.5720470166131,"SK394AZone1b",2
41.5,0.5,249542,4,5557,4566,5,38,19,31,5,135,5809,43,93.0785608722687,"SK394AZone1b",2
41.5,1.5,249042,4,5702,4643,1,31,15,36,7,143,5863,39,94.638623547688,"SK394AZone1b",2
41.5,10.5,244542,4,5672,4529,7,33,25,45,6,135,5909,44,92.3289203658984,"SK394AZone1b",2
41.5,11.5,244042,4,5575,4656,4,26,20,27,12,103,5934,51,94.9020107526289,"SK394AZone1b",2
41.5,12.5,243542,4,5687,4501,5,26,17,30,8,104,5966,57,91.7616248475641,"SK394AZone1b",2
41.5,13.5,243042,4,5569,4663,5,39,12,46,9,135,5848,45,95.0438346322125,"SK394AZone1b",2
41.5,14.5,242542,4,5653,4540,5,27,14,43,8,123,5937,43,92.5517864623868,"SK394AZone1b",2
41.5,15.5,242042,4,5593,4612,6,53,16,35,6,139,5788,46,94.010546366675,"SK394AZone1b",2
41.5,16.5,241542,4,5434,4607,2,43,16,39,12,131,5786,48,93.9092435955439,"SK394AZone1b",2
41.5,17.5,241042,4,5499,4608,3,38,13,38,8,117,5770,42,93.9295041497701,"SK394AZone1b",2
41.5,18.5,240542,4,5286,4573,6,30,26,30,7,115,5786,44,93.2203847518523,"SK394AZone1b",2
41.5,2.5,248542,4,5677,4571,9,31,18,40,8,144,5913,50,93.1798636433998,"SK394AZone1b",2
41.5,20.5,239542,4,5550,4568,4,42,19,37,7,129,6000,52,93.1190819807211,"SK394AZone1b",2
41.5,21.5,239042,4,5623,4512,6,31,23,36,7,124,5876,42,91.9844909440526,"SK394AZone1b",2
41.5,23.5,238042,4,5336,4433,6,37,12,34,15,116,5776,41,90.3839071601808,"SK394AZone1b",2
41.5,24.5,237542,4,5567,4544,2,40,19,32,13,159,5887,44,92.6328286792917,"SK394AZone1b",2
41.5,25.5,237042,4,5611,4571,6,23,13,29,6,131,5953,48,93.1798636433998,"SK394AZone1b",2
41.5,26.5,236542,4,5619,4518,3,43,19,33,11,143,5856,56,92.1060542694099,"SK394AZone1b",2
