"","x","y","Al","Ca","Cr","Fe","K","Mg","Mn","Na","Si","Ti","An"
"43128",127.5,77.5,5148,5908,10,63,36,30,2,55,5397,22,92
"43129",128.5,77.5,5113,6166,8,63,32,34,1,54,5439,9,95
"43130",129.5,77.5,5118,6171,15,55,38,36,2,42,5401,18,95
"43131",130.5,77.5,4998,6117,10,63,28,36,3,37,5432,11,95
"43132",131.5,77.5,5123,5975,9,49,40,39,2,46,5435,23,92
"43133",132.5,77.5,5034,6068,13,59,45,34,2,46,5382,11,94
"43134",133.5,77.5,5023,6086,15,61,36,35,4,38,5249,19,94
"43135",134.5,77.5,5014,6157,16,54,33,36,4,41,5332,17,95
"43136",135.5,77.5,5181,6081,15,58,30,30,3,53,5396,19,94
"43137",136.5,77.5,5095,5822,8,72,34,32,2,60,5408,18,90
"43138",137.5,77.5,4999,5797,17,70,42,27,1,59,5434,18,90
"43139",138.5,77.5,4925,5947,6,89,51,50,2,63,5332,19,92
"43141",140.5,77.5,4990,5973,12,56,26,29,4,43,5401,15,92
"43142",141.5,77.5,5133,6070,15,57,38,29,2,51,5436,16,94
"43143",142.5,77.5,4926,6048,11,56,40,35,3,59,5444,24,94
"43144",143.5,77.5,5096,6067,10,46,28,23,1,43,5394,18,94
"43145",144.5,77.5,5020,6174,11,77,43,26,2,53,5365,12,95
"43146",145.5,77.5,5229,6142,10,58,38,29,1,37,5383,11,95
"43147",146.5,77.5,5166,6034,5,54,41,28,2,36,5338,19,93
"43148",147.5,77.5,5057,5939,12,55,36,33,2,54,5408,18,92
"43149",148.5,77.5,4965,6014,15,62,27,31,3,65,5519,19,93
"43150",149.5,77.5,5043,6235,15,71,32,27,3,45,5383,24,96
"43151",150.5,77.5,5016,6027,11,69,31,28,3,49,5299,18,93
"43152",151.5,77.5,4993,5973,10,58,36,34,4,42,5573,12,92
"43153",152.5,77.5,5202,6067,12,56,49,44,4,61,5417,20,94
"43154",153.5,77.5,4779,5726,8,98,37,44,1,63,5468,30,89
"43345",94.5,76.5,4873,5623,12,93,55,38,5,94,5566,27,87
"43346",95.5,76.5,5014,5835,12,72,28,29,2,85,5517,16,90
"43347",96.5,76.5,4890,5623,19,83,43,33,4,116,5710,22,87
"43348",97.5,76.5,4875,5480,15,78,47,34,2,128,5858,20,85
"43349",98.5,76.5,4907,5508,9,71,31,40,4,109,5767,21,86
"43350",99.5,76.5,4698,5682,12,107,46,34,1,96,5689,17,88
"43351",100.5,76.5,4785,5820,10,107,31,45,2,77,5484,21,90
"43352",101.5,76.5,4860,5659,10,87,42,35,3,99,5704,12,88
"43353",102.5,76.5,4701,5251,13,110,62,39,3,126,6041,25,82
"43364",113.5,76.5,4897,5918,8,111,40,32,0,79,5476,21,92
"43365",114.5,76.5,4903,5914,16,78,38,37,3,55,5536,11,92
"43366",115.5,76.5,4863,5940,7,69,36,40,4,52,5400,12,92
"43367",116.5,76.5,4972,6117,8,75,49,37,2,60,5375,18,95
"43368",117.5,76.5,4992,5935,13,76,30,30,5,73,5504,17,92
"43369",118.5,76.5,4932,5824,11,74,25,32,6,70,5551,13,90
"43370",119.5,76.5,4881,5658,15,68,31,35,5,83,5623,24,88
"43371",120.5,76.5,4957,5863,13,68,45,35,2,84,5336,24,91
"43372",121.5,76.5,4993,5808,12,52,40,45,2,84,5454,15,90
"43373",122.5,76.5,5038,5988,12,74,32,31,3,74,5518,24,93
"43374",123.5,76.5,5105,5878,11,59,45,38,5,75,5536,19,91
"43375",124.5,76.5,5118,5805,18,58,38,30,4,56,5654,18,90
"43376",125.5,76.5,5092,5968,16,70,41,33,3,62,5545,23,92
