"","x","y","Al","Ca","Cr","Fe","K","Mg","Mn","Na","Si","Ti","An"
"22361",110.5,160.5,4987,5916,12,73,38,39,3,58,5424,15,94
"22362",111.5,160.5,4787,5876,13,54,32,26,4,62,5423,26,93
"22363",112.5,160.5,4989,5708,10,72,43,28,4,68,5400,17,91
"22364",113.5,160.5,4936,5404,14,73,36,36,5,104,5849,17,87
"22365",114.5,160.5,4808,5363,12,68,42,35,2,145,5751,15,86
"22366",115.5,160.5,4849,5439,9,78,35,36,4,77,5586,23,87
"22367",116.5,160.5,4817,5652,13,67,30,34,3,72,5679,16,90
"22368",117.5,160.5,4948,5092,13,94,45,37,5,104,5814,18,82
"22489",238.5,160.5,4881,5776,7,82,20,26,4,55,5311,20,92
"22490",239.5,160.5,5022,5767,19,69,43,38,1,44,5246,16,92
"22491",240.5,160.5,4897,5702,9,86,37,39,2,55,5222,21,91
"22492",241.5,160.5,4786,5578,13,86,28,40,1,76,5455,17,89
"22512",11.5,159.5,5137,5688,8,69,36,40,3,57,5514,23,91
"22513",12.5,159.5,5162,5798,16,67,34,35,7,63,5496,20,92
"22514",13.5,159.5,5104,5777,12,71,33,29,3,54,5469,17,92
"22515",14.5,159.5,4995,5880,7,60,34,17,2,52,5530,16,93
"22516",15.5,159.5,4655,4893,14,211,69,97,5,83,5465,34,80
"22518",17.5,159.5,4777,5396,16,82,43,29,2,67,4781,23,87
"22519",18.5,159.5,4849,5500,17,67,43,31,0,91,5659,18,88
"22520",19.5,159.5,5005,5762,12,61,40,37,1,86,5552,27,92
"22521",20.5,159.5,5000,5628,25,73,34,29,1,84,5635,23,90
"22522",21.5,159.5,4870,5175,16,77,47,36,2,83,5774,10,84
"22595",94.5,159.5,4854,5619,15,88,36,38,0,98,5595,18,90
"22596",95.5,159.5,4724,5278,19,79,37,41,4,106,5724,22,85
"22597",96.5,159.5,4769,5512,9,52,39,39,4,76,5580,16,88
"22598",97.5,159.5,4872,5717,10,61,27,26,2,53,5545,23,91
"22599",98.5,159.5,5018,5826,13,63,49,40,2,76,5461,16,93
"22600",99.5,159.5,5126,5793,12,75,27,26,4,53,5455,16,92
"22601",100.5,159.5,4955,5639,10,72,29,34,2,51,5392,19,90
"22602",101.5,159.5,4983,5795,15,70,38,41,2,57,5508,17,92
"22603",102.5,159.5,4903,5836,11,58,37,36,0,66,5510,17,93
"22604",103.5,159.5,5030,5740,16,59,35,27,3,62,5505,19,92
"22605",104.5,159.5,4995,5787,16,73,33,27,1,54,5567,24,92
"22606",105.5,159.5,5105,5806,13,95,31,35,2,66,5423,10,92
"22607",106.5,159.5,4898,5779,10,72,26,35,4,69,5478,13,92
"22608",107.5,159.5,5123,5714,7,70,33,24,4,51,5302,23,91
"22609",108.5,159.5,4897,5821,15,62,35,35,4,55,5547,21,93
"22610",109.5,159.5,4975,5874,14,70,33,24,5,56,5479,14,93
"22611",110.5,159.5,4927,5827,13,59,35,22,2,42,5493,12,93
"22612",111.5,159.5,4919,5595,10,66,36,42,4,75,5474,11,89
"22613",112.5,159.5,4865,5383,12,87,30,39,4,98,5609,11,86
"22614",113.5,159.5,4814,5512,9,89,44,35,1,92,5649,15,88
